response_id,participant_id,response_kind,order,puzzle_id,final_difficulty,immediate_difficulty,skill_nonogram,codeable,n_codes,codes_str,code_FOOT,code_CLUE,code_PROP,code_AMBIG,code_GUESS,code_HINT,code_ERR,code_LEARN,code_LOAD,code_VIS,code_TIME,code_UI,code_AFF
R0000,P001,rating_reason,1.0,1.0,3.0,3.0,6.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0001,P001,rating_reason,2.0,2.0,2.0,2.0,6.0,True,2,FOOT|VIS,1,0,0,0,0,0,0,0,0,1,0,0,0
R0002,P001,rating_reason,3.0,4.0,4.0,4.0,6.0,True,2,FOOT|AMBIG,1,0,0,1,0,0,0,0,0,0,0,0,0
R0003,P002,rating_reason,1.0,2.0,3.0,4.0,7.0,True,2,HINT|ERR,0,0,0,0,0,1,1,0,0,0,0,0,0
R0004,P002,rating_reason,2.0,3.0,4.0,4.0,7.0,True,2,HINT|AMBIG,0,0,0,1,0,1,0,0,0,0,0,0,0
R0005,P002,rating_reason,3.0,5.0,4.0,4.0,7.0,True,2,HINT|AMBIG,0,0,0,1,0,1,0,0,0,0,0,0,0
R0006,P003,rating_reason,1.0,3.0,2.0,2.0,2.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0007,P003,rating_reason,2.0,0.0,2.0,2.0,2.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0008,P003,rating_reason,3.0,2.0,1.0,1.0,2.0,True,2,ERR|LEARN,0,0,0,0,0,0,1,1,0,0,0,0,0
R0009,P004,rating_reason,1.0,0.0,4.0,4.0,1.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0010,P004,rating_reason,2.0,2.0,2.0,2.0,1.0,True,1,PROP,0,0,1,0,0,0,0,0,0,0,0,0,0
R0011,P004,rating_reason,3.0,5.0,-1.0,-1.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0012,P005,rating_reason,1.0,0.0,3.0,3.0,8.0,True,3,CLUE|PROP|GUESS,0,1,1,0,1,0,0,0,0,0,0,0,0
R0013,P005,rating_reason,2.0,2.0,4.0,4.0,8.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0014,P005,rating_reason,3.0,5.0,5.0,5.0,8.0,True,2,FOOT|AMBIG,1,0,0,1,0,0,0,0,0,0,0,0,0
R0015,P006,rating_reason,1.0,1.0,5.0,5.0,6.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0016,P006,rating_reason,2.0,2.0,3.0,3.0,6.0,True,2,FOOT|VIS,1,0,0,0,0,0,0,0,0,1,0,0,0
R0017,P006,rating_reason,3.0,5.0,4.0,4.0,6.0,True,1,AFF,0,0,0,0,0,0,0,0,0,0,0,0,1
R0018,P007,rating_reason,1.0,2.0,4.0,4.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0019,P007,rating_reason,2.0,0.0,4.0,4.0,1.0,True,2,ERR|GUESS,0,0,0,0,1,0,1,0,0,0,0,0,0
R0020,P007,rating_reason,3.0,3.0,4.0,4.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0021,P008,rating_reason,1.0,2.0,2.0,2.0,5.0,True,1,GUESS,0,0,0,0,1,0,0,0,0,0,0,0,0
R0022,P008,rating_reason,2.0,0.0,3.0,3.0,5.0,True,1,GUESS,0,0,0,0,1,0,0,0,0,0,0,0,0
R0023,P008,rating_reason,3.0,3.0,4.0,4.0,5.0,True,2,GUESS|FOOT,1,0,0,0,1,0,0,0,0,0,0,0,0
R0024,P009,rating_reason,1.0,3.0,5.0,5.0,8.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0025,P009,rating_reason,2.0,5.0,4.0,4.0,8.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0026,P009,rating_reason,3.0,4.0,3.0,3.0,8.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0027,P010,rating_reason,1.0,0.0,2.0,2.0,6.0,True,3,FOOT|VIS|CLUE,1,1,0,0,0,0,0,0,0,1,0,0,0
R0028,P010,rating_reason,2.0,1.0,4.0,4.0,6.0,True,3,FOOT|VIS|CLUE,1,1,0,0,0,0,0,0,0,1,0,0,0
R0029,P010,rating_reason,3.0,4.0,3.0,3.0,6.0,True,4,CLUE|FOOT|VIS|PROP,1,1,1,0,0,0,0,0,0,1,0,0,0
R0030,P011,rating_reason,1.0,1.0,4.0,4.0,5.0,True,3,GUESS|HINT|FOOT,1,0,0,0,1,1,0,0,0,0,0,0,0
R0031,P011,rating_reason,2.0,4.0,5.0,5.0,5.0,True,2,GUESS|HINT,0,0,0,0,1,1,0,0,0,0,0,0,0
R0032,P011,rating_reason,3.0,5.0,4.0,4.0,5.0,True,2,GUESS|HINT,0,0,0,0,1,1,0,0,0,0,0,0,0
R0033,P012,rating_reason,1.0,2.0,3.0,3.0,3.0,True,1,ERR,0,0,0,0,0,0,1,0,0,0,0,0,0
R0034,P012,rating_reason,2.0,5.0,3.0,3.0,3.0,True,3,ERR|CLUE|AMBIG,0,1,0,1,0,0,1,0,0,0,0,0,0
R0035,P012,rating_reason,3.0,1.0,2.0,2.0,3.0,True,2,LEARN|ERR,0,0,0,0,0,0,1,1,0,0,0,0,0
R0036,P013,rating_reason,1.0,5.0,2.0,2.0,9.0,True,1,AFF,0,0,0,0,0,0,0,0,0,0,0,0,1
R0037,P013,rating_reason,2.0,4.0,2.0,2.0,9.0,True,1,AFF,0,0,0,0,0,0,0,0,0,0,0,0,1
R0038,P013,rating_reason,3.0,1.0,2.0,2.0,9.0,True,1,AFF,0,0,0,0,0,0,0,0,0,0,0,0,1
R0039,P014,rating_reason,1.0,0.0,3.0,3.0,5.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0040,P014,rating_reason,2.0,1.0,4.0,4.0,5.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0041,P014,rating_reason,3.0,3.0,3.0,4.0,5.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0042,P015,rating_reason,1.0,1.0,,,,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0043,P015,rating_reason,2.0,2.0,,,,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0044,P015,rating_reason,3.0,0.0,,,,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0045,P016,rating_reason,1.0,2.0,2.0,2.0,9.0,True,3,FOOT|VIS|CLUE,1,1,0,0,0,0,0,0,0,1,0,0,0
R0046,P016,rating_reason,2.0,5.0,3.0,3.0,9.0,True,3,FOOT|AMBIG|PROP,1,0,1,1,0,0,0,0,0,0,0,0,0
R0047,P016,rating_reason,3.0,0.0,4.0,4.0,9.0,True,5,FOOT|CLUE|LOAD|PROP|VIS,1,1,1,0,0,0,0,0,1,1,0,0,0
R0048,P017,rating_reason,1.0,3.0,3.0,4.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0049,P017,rating_reason,2.0,5.0,3.0,3.0,1.0,True,1,GUESS,0,0,0,0,1,0,0,0,0,0,0,0,0
R0050,P017,rating_reason,3.0,2.0,2.0,2.0,1.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0051,P018,rating_reason,1.0,4.0,4.0,4.0,3.0,True,2,HINT|GUESS,0,0,0,0,1,1,0,0,0,0,0,0,0
R0052,P018,rating_reason,2.0,1.0,4.0,4.0,3.0,True,2,GUESS|HINT,0,0,0,0,1,1,0,0,0,0,0,0,0
R0053,P018,rating_reason,3.0,0.0,3.0,3.0,3.0,True,4,FOOT|CLUE|GUESS|PROP,1,1,1,0,1,0,0,0,0,0,0,0,0
R0054,P019,rating_reason,1.0,5.0,3.0,3.0,8.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0055,P019,rating_reason,2.0,1.0,4.0,4.0,8.0,True,4,FOOT|PROP|AMBIG|CLUE,1,1,1,1,0,0,0,0,0,0,0,0,0
R0056,P019,rating_reason,3.0,4.0,4.0,4.0,8.0,True,2,FOOT|VIS,1,0,0,0,0,0,0,0,0,1,0,0,0
R0057,P020,rating_reason,1.0,0.0,5.0,5.0,7.0,True,2,GUESS|LOAD,0,0,0,0,1,0,0,0,1,0,0,0,0
R0058,P020,rating_reason,2.0,3.0,4.0,4.0,7.0,True,2,CLUE|PROP,0,1,1,0,0,0,0,0,0,0,0,0,0
R0059,P020,rating_reason,3.0,4.0,3.0,3.0,7.0,True,2,LEARN|GUESS,0,0,0,0,1,0,0,1,0,0,0,0,0
R0060,P021,rating_reason,1.0,1.0,3.0,3.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0061,P021,rating_reason,2.0,0.0,4.0,4.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
